"Authors

","Size 
category
","Number
 of profiles","

Median","Slope range
(tan β)
Min","

Max",Median,"Size range
(mm)
Min",Max,"Location

","Tidal regime

","Wave source

","Section, table or figure
used to extract size 
and slope data","References

"
Bujan et al. (2018),Cobbles,19,0.24,0.16,0.32,97.03,51.63,146.02,Taiwan,Microtidal,North Pacific,Tab 2,"Bujan, N., Cox, R., Lin, L.-C., Ducrocq, C., and Hwung, H.-H. (2018). Semiautomatic Digital Clast Sizing of a Cobble Beach, Nantian, Taiwan. Journal of Coastal Research. + unpublished data"
Carr (1969),Pebbles,17,0.16,0.12,0.18,19.10,7.10,39.10,UK,Macrotidal,English Channel,Fig 2 and 3,"Carr, A.P. (1969). Size grading along a pebble beach; chesil beach, England. Journal of Sedimentary Research 39, 297–311."
Curtiss et al. (2009),Pebbles,2,0.18,0.13,0.22,19.75,17.00,22.50,USA,Macrotidal,Sound,Size: text. Slope: Fig 8,"Curtiss, G.M., Osborne, P.D., and Horner-Devine, A.R. (2009). Seasonal patterns of coarse sediment transport on a mixed sand and gravel beach due to vessel wakes, wind waves, and tidal currents. Marine Geology 259, 73–85."
Dail et al. (2000),Sands,1,0.14,0.07,0.20,0.35,0.35,0.35,Hawai,Microtidal,North Pacific,Text,"Dail, H.J., Merrifield, M.A., and Bevis, M. (2000). Steep beach morphology changes due to energetic wave forcing. Marine Geology 162, 443–458."
Dingler (1981),Sands,6,0.13,0.04,0.15,1.66,1.41,2.64,USA,Microtidal,North Pacific,Tab 1 and Figs,"Dingler, J.R. (1981). Stability of a very coarse-grained beach at Carmel, California. Marine Geology 44, 241–252."
Dingler and Reiss (2002),Sands,18,0.08,0.04,0.18,0.40,0.29,0.98,USA,Microtidal,North Pacific,Fig 4,"Dingler, J.R., and Reiss, T.E. (2002). Changes to Monterey Bay beaches from the end of the 1982–83 El Niño through the 1997–98 El Niño. Marine Geology 181, 249–263."
Dubois (1972),Sands,34,0.18,0.13,0.23,0.31,0.17,0.36,USA,Microtidal,Lake,Fig 1,"Dubois, R.N. (1972). Inverse Relation Between Foreshore Slope and Mean Grain Size as a Function of the Heavy Mineral Content. Geological Society of America Bulletin 83, 871–876."
Etienne and Paris (2010),Boulders,5,0.18,0.15,0.20,477.50,439.59,560.28,Island,NI,North Atlantic,Fig 10,"Etienne, S., and Paris, R. (2010). Boulder accumulations related to storms on the south coast of the Reykjanes Peninsula (Iceland). Geomorphology 114, 55–70."
Firoozfar et al. (2014),Sands,15,0.03,0.02,0.10,0.21,0.15,0.50,Iran,Closed sea,Caspian Sea,Fig 9,"Firoozfar, A., Neshaei, M.A.L., and Dykes, A.P. (2014). Beach Profiles and Sediments, a Case of Caspian Sea. International Journal of Marine Science 4."
Fitzgerald and Rosen (2013),Pebbles,24,0.12,0.01,0.25,5.17,0.28,48.17,USA,NI,Gulf of Alaska,Fig 14,"Fitzgerald, D.M., and Rosen, P.S. (2013). Glaciated Coasts (Elsevier)."
Forbes et al. (1995),Cobbles,11,0.30,0.25,0.32,60.00,42.00,85.00,Canada,NI,North Atlantic,"Size: Fig 10, 12. Slope: Fig 7","Forbes, D.L., Orford, J.D., Carter, R.W.G., Shaw, J., and Jennings, S.C. (1995). Morphodynamic evolution, self-organisation, and instability of coarse-clastic barriers on paraglacial coasts. Marine Geology 126, 63–85."
Gallop et al. (2012),Sands,1,0.09,0.07,0.11,0.40,0.40,0.40,Australia,Microtidal,Lagoon,Size: text. Slope: Tab 2,"Gallop, S.L., Bosserelle, C., Eliot, I., and Pattiaratchi, C.B. (2012). The influence of limestone reefs on storm erosion and recovery of a perched beach. Continental Shelf Research 47, 16–27."
Gregory (2015),Pebbles,2,0.15,0.12,0.17,15.80,13.64,17.88,UK,Macrotidal,English Channel,Tab 4.1,"Gregory, T. (2015). An investigation into the Morphology and Sedimentology of Dungeness Gravel Barrier. BSC Geography and Environmental Management. University of the West of England."
Guedes et al. (2011),Sands,1,0.12,0.09,0.14,0.63,0.25,1.00,New Zealand,Microtidal,South Pacific,Size: text. Slope: Fig 5,"Guedes, R.M.C., Bryan, K.R., Coco, G., and Holman, R.A. (2011). The effects of tides on swash statistics on an intermediate beach. J. Geophys. Res. 116, C04008."
Harris et al. (2011),Sands,171,0.05,0.01,0.20,0.30,0.09,1.59,Southern Africa,Microtidal,Various,Fig 2,"Harris, L., Nel, R., and Schoeman, D. (2011). Mapping beach morphodynamics remotely: A novel application tested on South African sandy shores. Estuarine, Coastal and Shelf Science 92, 78–89."
Isla and Bujalesky (2005),Pebbles,19,0.10,0.06,0.17,1.87,0.22,14.93,Argentina,Macrotidal,South Atlantic,Fig 4,"Isla, F.I., and Bujalesky, G.G. (2005). Groundwater Dynamics on Macrotidal Gravel Beaches of Tierra del Fuego, Argentina*. Journal of Coastal Research 65–72."
Ivamy and Kench (2006),Pebbles,1,0.10,0.10,0.16,2.34,1.36,8.50,New Zealand,Microtidal,South Pacific,Size: text. Slope: Fig 2,"Ivamy, M.C., and Kench, P.S. (2006). Hydrodynamics and morphological adjustment of a mixed sand and gravel beach, Torere, Bay of Plenty, New Zealand. Marine Geology 228, 137–152."
Jackson et al. (2005),Sands,25,0.03,0.01,0.10,0.19,0.14,0.63,UK,Various,North Atlantic,Fig 9,"Jackson, D.W.T., Cooper, J.A.G., and del Rio, L. (2005). Geological control of beach morphodynamic state. Marine Geology 216, 297–314."
Jahn (2014),Cobbles,28,0.25,0.08,0.52,131.50,38.00,307.00,"Ireland, UK",Various,North Atlantic,Appendix,"Jahn, L.K. (2014). The sedimentology of storm-emplaced coastal boulder deposits in the northeastern Atlantic region. Bachelor Degree. Williams College."
Jennings and Shulmeister (2002),Pebbles,42,0.09,0.04,0.24,4.04,0.75,46.85,New Zealand,Various,Various,Tab 2,"Jennings, R., and Shulmeister, J. (2002). A field based classification scheme for gravel beaches. Marine Geology 186, 211–228."
Karunarathna et al. (2012),Pebbles,2,0.12,0.07,0.17,8.18,0.35,16.00,"UK, Australia",Various,Various,Text,"Karunarathna, H., Horrillo-Caraballo, J.M., Ranasinghe, R., Short, A.D., and Reeve, D.E. (2012). An analysis of the cross-shore beach morphodynamics of a sandy and a composite gravel beach. Marine Geology 299–302, 33–42."
Kirk (1980),Cobbles,2,0.12,0.09,0.14,5.90,2.60,9.20,New Zealand,Microtidal,South Pacific,Size: text. Slope: Fig 4,"Kirk, R.M. (1980). Mixed sand and gravel beaches: morphology, processes and sediments. Progress in Physical Geography 4, 189–210."
Komar (1998),Sands,85,0.08,0.01,0.24,0.31,0.17,0.81,USA,Various,Various,Fig,"Komar, P. (1998). Beach processes and sedimentation (Englewood-Cliffs: Prentice-Hall)."
Lindley (1987),Sands,5,0.12,0.10,0.14,1.02,0.38,2.17,Canada,Lake,Lake,Fig 3,"Lindley, L.V. (1987). The Relationship Between the Foreshore Slope, Grain Size and Wave Height."
López et al. (2016),Pebbles,5,0.16,0.09,0.22,14.45,1.73,31.94,Spain,Microtidal,Mediterranean Sea,Size: Tab 10. Slope: Tab 3,"López, I., Aragonés, L., and Villacampa, Y. (2016). Analysis and modelling of cross-shore profile of gravel beaches in the province of Alicante. Ocean Engineering 118, 173–186."
Lorang (2002),Pebbles,1,0.15,0.12,0.20,59.00,48.50,83.70,US,NI,North Pacific,Size: Tab 1. Slope: Fig 7,"Lorang, M.S. (2002). Predicting the crest height of a gravel beach. Geomorphology 48, 87–101."
Mason and Hansom (1989),Granules,2,0.08,0.03,0.12,2.30,2.00,2.60,UK,Macrotidal,North Sea,text,"Mason, S.J., and Hansom, J.D. (1989). A Markov model for beach changes on the holderness coast of England. Earth Surf. Process. Landforms 14, 731–743."
Masselink and Li (2001),Sands,31,0.09,0.02,0.16,0.26,0.15,1.02,Australia,NI,NI,Fig 2,"Masselink, G., and Li, L. (2001). The role of swash infiltration in determining the beachface gradient: a numerical study. Marine Geology 176, 139–156."
Masselink et al. (2010),Granules,1,0.14,0.14,0.14,3.50,2.50,4.50,UK,Mesotidal,English Channel,Size: text. Slope: Fig 2,"Masselink, G., Russell, P., Blenkinsopp, C., and Turner, I. (2010). Swash zone sediment transport, step dynamics and morphological response on a gravel beach. Marine Geology 274, 50–68."
Mattila (1988),Pebbles,4,0.36,0.28,0.49,13.50,10.00,33.80,Canada,Macrotidal,Strait of Georgia,Fig 14,"Mattila, M.R. (1988). Beach profiles and sediment activity. University of British Columbia."
McCall et al. (2015),Pebbles,3,0.14,0.12,0.20,23.00,2.00,79.89,UK France,NI,English Channel,Tab 1,"McCall, R.T., Masselink, G., Poate, T.G., Roelvink, J.A., and Almeida, L.P. (2015). Modelling the morphodynamics of gravel beaches during storms with XBeach-G. Coastal Engineering 103, 52–66."
McKay and Terich (1992),Pebbles,21,0.19,0.04,0.83,42.22,16.00,103.97,US,Mesotidal,North Pacific,Size: Tabs. Slope: Figs,"McKay, P.J., and Terich, T.A. (1992). Gravel barrier morphology: Olympic National Park, Washington State, USA. Journal of Coastal Research 813–829."
McLachlan and Dorvlo (2005),Sands,134,0.04,0.01,0.20,0.26,0.10,1.41," South Africa, Australia, United States, Chile, Oman, Brazil, Uruguay, New Zealand, Madagascar, Belgium",Various,Various,Fig 1,"McLachlan, A., and Dorvlo, A. (2005). Global Patterns in Sandy Beach Macrobenthic Communities. Journal of Coastal Research 674–687."
McLean and Kirk (1969),Sands,212,0.11,0.05,0.43,1.82,0.32,14.93,New Zealand,NI,South Pacific,Fig 6,"McLean, R.F., and Kirk, R.M. (1969). Relationships between grain size, size-sorting, and foreshore slope on mixed sand - shingle beaches. New Zealand Journal of Geology and Geophysics 12, 138–155."
Miller et al. (2011),Pebbles,3,0.13,0.12,0.13,42.00,19.03,59.71,USA,Microtidal,Strait,Tab 1,"Miller, I.M., Warrick, J.A., and Morgan, C. (2011). Observations of coarse sediment movements on the mixed beach of the Elwha Delta, Washington. Marine Geology 282, 201–214."
Mwakumanya and Bdo (2007),Sands,9,0.05,0.05,0.10,0.16,0.15,0.22,Kenya,Mesotidal,Indian Ocean,Tab 1,"Mwakumanya, M.A., and Bdo, O. (2007). Beach Morphological Dynamics: A Case Study of Nyali and Bamburi Beaches in Mombasa, Kenya. Journal of Coastal Research 232, 374–379."
Oak (1981),Boulders,15,0.15,0.10,0.21,481.70,210.40,770.15,Australia,NI,South Pacific,Size: Tab A1. Slope: Tab 23,"Oak, H.L. (1981). Boulder beaches: a sedimentological study. Ph.D. Macquarie University."
Obhrai et al. (2012),Pebbles,5,0.11,0.11,0.11,10.80,0.23,23.50,UK,NI,North Atlantic,Size: Tab 1. Slope: text,"Obhrai, C., Rigden, T., Powell, K., and Johnson, A. (2012). Physical Modelling of the New Coastal Defence Scheme at Borth. In Innovative Coastal Zone Management: Sustainable Engineering for a Dynamic Coast, (ICE Publishing), pp. 577–586."
"Personal communication, refers to Pérez-Alberti et al. (2012)",Boulders,7,0.18,0.13,0.26,635.00,500.00,695.00,Spain,Mesotidal,North Atlantic,Size: text. Slope: Fig 3,"Personal communication, refers to Pérez-Alberti, A., Trenhaile, A.S., Pires, A., López-Bedoya, J., Chaminé, H.I., and Gomes, A. (2012). The effect of boulders on shore platform development and morphology in Galicia, north west Spain. Continental Shelf Research 48, 122–137."
"Personal communication, refers to Pinto et al. (2009)",Sands,30,0.09,0.02,0.13,0.50,0.21,1.16,Portugal,Mesotidal,North Atlantic,Tabs,"Personal communication, refers to Pinto, C.A., Taborda, R., Andrade, C., and Teixeira, S.B. (2009). Seasonal and Mesoscale Variations at an Embayed Beach (Armação De Pera, Portugal). Journal of Coastal Research 118–122."
Poate et al. (2009),Sands,3,0.01,0.01,0.01,0.35,0.25,0.38,UK,Macrotidal,North Atlantic,Text,"Poate, T., Kingston, K., Masselink, G., and Russell, P. (2009). Response of High-energy, Macrotidal Beaches to Seasonal Changes in Wave Conditions: Examples from North Cornwall, UK. In Journal of Coastal Research, pp. 747–751."
Reis and Gama (2010),Sands,183,0.11,0.03,0.18,0.39,0.14,1.85,Portugal,Mesotidal,North Atlantic,Fig 3 and 4,"Reis, A.H., and Gama, C. (2010). Sand size versus beachface slope — An explanation based on the Constructal Law. Geomorphology 114, 276–283."
Ruggiero et al. (1998),Sands,3,0.03,0.02,0.10,0.26,0.18,0.50,"Holland, USA",Various,Various,Tab 1,"Ruggiero, P., Kaminsky, G., and Plant, N. (1998). Coastal Morphologic Variability of High Energy Dissipative Beaches. In Coastal Engineering 1998, (Copenhagen, Denmark), pp. 3238–3251."
Ruggiero et al. (1999),Sands,44,0.02,0.01,0.06,0.17,0.11,0.85,USA,NI,North Pacific,Fig 3,"Ruggiero, P., Côté, J., Kaminsky, G., and Gelfenbaum, G. (1999). Scales of variability along the Columbia River littoral cell. In Proceedings of Coastal Sediments, (New York, USA: American Society of Civil Engineers), pp. 1692–1707."
Russo et al. (2014),Sands,1,0.14,0.14,0.14,1.49,1.49,1.49,UK,NI,English Channel,Text,"Russo, V., Allsop, W., Sutherland, J., and Kemp, J. (2014). Modelling of a mobile beach for short-term beach responses. Proceedings of the Institution of Civil Engineers - Maritime Engineering 167, 192–205."
Sammut et al. (2017),Pebbles,12,0.14,0.06,0.21,39.81,24.16,53.70,Maltese Islands,Microtidal,Mediterranean Sea,Tab 4,"Sammut, S., Gauci, R., Drago, A., Gauci, A., and Azzopardi, J. (2017). Pocket beach sediment: A field investigation of the geodynamic processes of coarse-clastic beaches on the Maltese Islands (Central Mediterranean). Marine Geology 387, 58–73."
Scott et al. (2011),Sands,3,0.12,0.12,0.18,1.42,0.65,11.96,UK,Various,Various,Size: text. Slope: Fig 7 ,"Scott, T., Masselink, G., and Russell, P. (2011). Morphodynamic characteristics and classification of beaches in England and Wales. Marine Geology 286, 1–20."
Sharma et al. (2016),Sands,68,0.02,0.01,0.09,0.29,0.16,0.63,India,Microtidal,Arabian sea,Fig 6,"Sharma, S., Kumar, V.S., and Gowthaman, R. (2016). Textural characteristics and morphosedimentary environment of foreshore zone along Ganpatipule, Maharashtra, India. Marine Georesources & Geotechnology 1–8."
Sherman et al. (1993),Pebbles,1,0.24,0.24,0.24,32.00,32.00,32.00,UK,Mesotidal,North Atlantic,Size: Fig 11. Slope: Fig 3  ,"Sherman, D.J., Orford, J.D., and Carter, R.W.G. (1993). Development of cusp-related, gravel size and shape facies at Malin Head, Ireland. Sedimentology 40, 1139–1152."
Silva et al. (2009),Sands,9,0.08,0.07,0.09,0.56,0.36,0.61,Portugal,Mesotidal,North Atlantic,Tab 1,"Silva, R., Baptista, P., Veloso-Gomes, F., Coelho, C., and Taveira-Pinto, F. (2009). Sediment Grain Size Variation on a Coastal Stretch Facing the North Atlantic (NW Portugal). Journal of Coastal Research 762–766."
Silveira et al. (2013),Sands,156,0.11,0.02,0.19,0.46,0.21,1.42,Portugal,Mesotidal,North Atlantic,Tabs,"Silveira, T.M., Diogo, Z.S., Taborda, R., Andrade, C., Sousa, H., Carapuço, A.M., and Silva, A.M. (2013). Estabelecimento de critérios e metodologias para a avaliação e verificação da linha da máxima preia-mar de águas vivas equinociais (Lisboa: FFCUL/APA)."
Soares (2003),Sands,52,0.07,0.03,0.20,0.30,0.13,0.90,"Madagascar, Brazil, Chile, South Africa",Microtidal,Various,Appendix 1,"Soares, A.G. (2003). Sandy Beach Morphodynamics and Macrobenthic Communities in Temperate, Subtropical and Tropical Regions: A Macroecological Approach. PhD. Nelson Mandela Metropolitan University."
Souza (2007),Sands,17,0.09,0.02,0.19,0.16,0.09,0.52,Brazil,NI,South Atlantic,Tab 1,"Souza, C.R. de G. (2007). Determination of net shore-drift cells based on textural and morphological gradations along foreshore of sandy beaches. Journal of Coastal Research 620."
Spiske and Halley (2014),Cobbles,2,0.28,0.19,0.38,96.00,88.00,104.00,Virgin Islands,NI,North Atlantic,Size: Appendix. Slope: Fig 4,"Spiske, M., and Halley, R.B. (2014). A coral-rubble ridge as evidence for hurricane overwash, Anegada (British Virgin Islands). Advances in Geosciences 38, 9."
Trindade and Ramos-Pereira (2009),Sands,40,0.06,0.02,0.12,0.48,0.35,0.63,Portugal,Mesotidal,North Atlantic,Fig 4,"Trindade, J., and Ramos-Pereira, A. (2009). Sediment Textural Distribution on Beach Profiles in a Rocky Coast. (Estremadura - Portugal). Journal of Coastal Research; Fort Lauderdale SI, 138–142."
U.S. Army Engineer Waterways (1984),Sands,116,0.06,0.01,0.19,0.28,0.07,0.80,USA,Various,Various,Fig 4.36,"U.S. Army Engineer Waterways (1984). Shore protection manual: Volume I and II (Washington, USA: US Army Corps of Engineers)."
Vousdoukas (2012),Sands,1,0.11,0.06,0.15,0.50,0.50,0.50,Portugal,Mesotidal,North Atlantic,Text,"Vousdoukas, M.I. (2012). Erosion/accretion patterns and multiple beach cusp systems on a meso-tidal, steeply-sloping beach. Geomorphology 141–142, 34–46."
Warrick et al. (2009),Cobbles,17,0.15,0.14,0.19,80.00,50.00,175.00,USA,Microtidal,Strait,Size: Fig 13. Slope: Fig 5,"Warrick, J.A., George, D.A., Gelfenbaum, G., Ruggiero, P., Kaminsky, G.M., and Beirne, M. (2009). Beach morphology and change along the mixed grain-size delta of the dammed Elwha River, Washington. Geomorphology 111, 136–148."
Wescott and Ethridge (1980),Pebbles,34,0.13,0.05,0.29,4.15,0.40,19.70,Jamaica,Microtidal,Caribbean Sea,Fig 10,"Wescott, W.A., and Ethridge, F.G. (1980). Fan-Delta Sedimentology and Tectonic Setting--Yallahs Fan Delta, Southeast Jamaica. AAPG Bulletin 64, 374–399."
Wong (1981),Sands,44,0.13,0.04,0.20,0.39,0.09,0.89,Malaysia,Mesotidal,South China Sea,Fig 6,"Wong, P.P. (1981). Beach changes on a monsoon coast, Peninsular Malaysia. J. Geol. Soc. Malaysia 14, 59–47."
Xia and Boufadel (2011),Pebbles,2,0.09,0.08,0.09,10.30,9.40,11.20,USA,Macrotidal,Prince William Sound,Size: text. Slope: Fig 2,"Xia, Y., and Boufadel, M.C. (2011). Beach geomorphic factors for the persistence of subsurface oil from the Exxon Valdez spill in Alaska. Environ Monit Assess 183, 5–21."
Yang and You (2016),Sands,155,0.07,0.02,0.17,0.37,0.19,0.59,Australia,Mesotidal,South Pacific,Fig 8,"Yang, Z., and You, Z. (2016). Quantitative Study on Beach-Face Slope Based on Field and Laboratory Experiments. In The 26th International Ocean and Polar Engineering Conference, (Rhodes, Greece: International Society of Offshore and Polar Engineers), 1590-1594"
Zentner and Cox (2009),Cobbles,24,0.32,0.15,0.47,186.50,77.00,307.00,Ireland,NI,North Atlantic,Appendix,"Zentner, D.B., and Cox, R. (2009). Geospatial, hydrodynamic, and field evidence for the storm-wave emplacment of boulder ridges on the Aran Islands, Ireland. Williams College."
,,,,,,,,,,,,,
NI=Not Indicated,,,,,,,,,,,,,
